year,region,country,sector,finance_type,value_usd_mn
2013,Sub-Saharan Africa,Kenya,Renewable Energy,Non-Concessional Loan,710.74
2013,Sub-Saharan Africa,Nigeria,Renewable Energy,Non-Concessional Loan,370.75
2013,Sub-Saharan Africa,South Africa,Renewable Energy,Grant,278.7
2013,Sub-Saharan Africa,Ethiopia,Renewable Energy,Equity,117.84
2013,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,251.56
2013,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,152.01
2013,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,332.15
2013,South Asia,India,Renewable Energy,Equity,136.94
2013,South Asia,Bangladesh,Renewable Energy,Grant,381.63
2013,South Asia,Pakistan,Renewable Energy,Non-Concessional Loan,160.53
2013,South Asia,Sri Lanka,Renewable Energy,Equity,13.89
2013,South Asia,Sri Lanka,Renewable Energy,Non-Concessional Loan,160.19
2013,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,709.53
2013,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,749.71
2013,East Asia & Pacific,China,Renewable Energy,Non-Concessional Loan,63.87
2013,East Asia & Pacific,Indonesia,Renewable Energy,Bond,179.22
2013,East Asia & Pacific,Indonesia,Renewable Energy,Non-Concessional Loan,71.69
2013,East Asia & Pacific,Vietnam,Renewable Energy,Bond,1.38
2013,East Asia & Pacific,Philippines,Renewable Energy,Bond,87.42
2013,East Asia & Pacific,Philippines,Renewable Energy,Equity,17.03
2013,East Asia & Pacific,Thailand,Renewable Energy,Bond,171.09
2013,East Asia & Pacific,Thailand,Renewable Energy,Bond,294.0
2013,Latin America & Caribbean,Brazil,Renewable Energy,Equity,44.48
2013,Latin America & Caribbean,Mexico,Renewable Energy,Equity,43.61
2013,Latin America & Caribbean,Colombia,Renewable Energy,Equity,55.47
2013,Latin America & Caribbean,Chile,Renewable Energy,Bond,405.25
2013,Latin America & Caribbean,Argentina,Renewable Energy,Bond,64.3
2013,Latin America & Caribbean,Argentina,Renewable Energy,Bond,90.19
2013,Europe & Central Asia,Turkey,Renewable Energy,Equity,42.57
2013,Europe & Central Asia,Ukraine,Renewable Energy,Bond,250.78
2013,Europe & Central Asia,Ukraine,Renewable Energy,Non-Concessional Loan,25.39
2013,Europe & Central Asia,Poland,Renewable Energy,Bond,266.76
2013,Europe & Central Asia,Romania,Renewable Energy,Non-Concessional Loan,195.86
2013,Europe & Central Asia,Romania,Renewable Energy,Equity,148.66
2013,Europe & Central Asia,Kazakhstan,Renewable Energy,Bond,45.7
2013,Middle East & North Africa,Morocco,Renewable Energy,Equity,295.98
2013,Middle East & North Africa,Morocco,Renewable Energy,Non-Concessional Loan,800.05
2013,Middle East & North Africa,Egypt,Renewable Energy,Bond,81.02
2013,Middle East & North Africa,Egypt,Renewable Energy,Equity,46.53
2013,Middle East & North Africa,Jordan,Renewable Energy,Grant,325.26
2013,Middle East & North Africa,Tunisia,Renewable Energy,Bond,78.61
2013,Middle East & North Africa,Tunisia,Renewable Energy,Grant,79.34
2014,Sub-Saharan Africa,Kenya,Renewable Energy,Bond,21.46
2014,Sub-Saharan Africa,Kenya,Renewable Energy,Bond,282.05
2014,Sub-Saharan Africa,Nigeria,Renewable Energy,Grant,85.66
2014,Sub-Saharan Africa,South Africa,Renewable Energy,Bond,1.14
2014,Sub-Saharan Africa,South Africa,Renewable Energy,Non-Concessional Loan,69.08
2014,Sub-Saharan Africa,Ethiopia,Renewable Energy,Equity,97.78
2014,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,15.91
2014,Sub-Saharan Africa,Tanzania,Renewable Energy,Equity,302.21
2014,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,8.82
2014,South Asia,India,Renewable Energy,Equity,547.56
2014,South Asia,Bangladesh,Renewable Energy,Non-Concessional Loan,201.16
2014,South Asia,Pakistan,Renewable Energy,Bond,202.63
2014,South Asia,Sri Lanka,Renewable Energy,Equity,206.67
2014,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,202.04
2014,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,117.79
2014,East Asia & Pacific,China,Renewable Energy,Bond,260.21
2014,East Asia & Pacific,China,Renewable Energy,Equity,128.69
2014,East Asia & Pacific,Indonesia,Renewable Energy,Grant,26.51
2014,East Asia & Pacific,Vietnam,Renewable Energy,Non-Concessional Loan,250.68
2014,East Asia & Pacific,Vietnam,Renewable Energy,Bond,58.22
2014,East Asia & Pacific,Philippines,Renewable Energy,Bond,98.13
2014,East Asia & Pacific,Philippines,Renewable Energy,Equity,172.29
2014,East Asia & Pacific,Thailand,Renewable Energy,Equity,4.22
2014,East Asia & Pacific,Thailand,Renewable Energy,Bond,267.08
2014,Latin America & Caribbean,Brazil,Renewable Energy,Bond,506.19
2014,Latin America & Caribbean,Brazil,Renewable Energy,Grant,441.08
2014,Latin America & Caribbean,Mexico,Renewable Energy,Equity,525.3
2014,Latin America & Caribbean,Colombia,Renewable Energy,Equity,192.81
2014,Latin America & Caribbean,Colombia,Renewable Energy,Equity,59.5
2014,Latin America & Caribbean,Chile,Renewable Energy,Grant,453.03
2014,Latin America & Caribbean,Chile,Renewable Energy,Equity,447.15
2014,Latin America & Caribbean,Argentina,Renewable Energy,Non-Concessional Loan,361.98
2014,Latin America & Caribbean,Argentina,Renewable Energy,Equity,41.28
2014,Europe & Central Asia,Turkey,Renewable Energy,Bond,723.37
2014,Europe & Central Asia,Ukraine,Renewable Energy,Bond,26.34
2014,Europe & Central Asia,Poland,Renewable Energy,Grant,378.55
2014,Europe & Central Asia,Romania,Renewable Energy,Equity,175.87
2014,Europe & Central Asia,Romania,Renewable Energy,Non-Concessional Loan,36.83
2014,Europe & Central Asia,Kazakhstan,Renewable Energy,Equity,19.32
2014,Europe & Central Asia,Kazakhstan,Renewable Energy,Equity,785.42
2014,Middle East & North Africa,Morocco,Renewable Energy,Equity,1.58
2014,Middle East & North Africa,Morocco,Renewable Energy,Equity,183.88
2014,Middle East & North Africa,Egypt,Renewable Energy,Equity,57.15
2014,Middle East & North Africa,Egypt,Renewable Energy,Bond,11.89
2014,Middle East & North Africa,Jordan,Renewable Energy,Grant,263.93
2014,Middle East & North Africa,Jordan,Renewable Energy,Grant,56.14
2014,Middle East & North Africa,Tunisia,Renewable Energy,Equity,182.31
2015,Sub-Saharan Africa,Kenya,Renewable Energy,Non-Concessional Loan,322.27
2015,Sub-Saharan Africa,Nigeria,Renewable Energy,Bond,71.92
2015,Sub-Saharan Africa,Nigeria,Renewable Energy,Equity,130.89
2015,Sub-Saharan Africa,South Africa,Renewable Energy,Bond,71.72
2015,Sub-Saharan Africa,Ethiopia,Renewable Energy,Bond,202.5
2015,Sub-Saharan Africa,Ethiopia,Renewable Energy,Bond,422.53
2015,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,201.54
2015,Sub-Saharan Africa,Tanzania,Renewable Energy,Non-Concessional Loan,48.87
2015,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,152.4
2015,South Asia,India,Renewable Energy,Bond,30.62
2015,South Asia,Bangladesh,Renewable Energy,Equity,147.39
2015,South Asia,Bangladesh,Renewable Energy,Equity,56.06
2015,South Asia,Pakistan,Renewable Energy,Non-Concessional Loan,302.08
2015,South Asia,Sri Lanka,Renewable Energy,Bond,59.89
2015,South Asia,Sri Lanka,Renewable Energy,Non-Concessional Loan,218.36
2015,South Asia,Nepal,Renewable Energy,Grant,45.13
2015,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,132.07
2015,East Asia & Pacific,China,Renewable Energy,Grant,808.11
2015,East Asia & Pacific,China,Renewable Energy,Equity,115.42
2015,East Asia & Pacific,Indonesia,Renewable Energy,Grant,99.36
2015,East Asia & Pacific,Vietnam,Renewable Energy,Bond,45.72
2015,East Asia & Pacific,Philippines,Renewable Energy,Equity,166.85
2015,East Asia & Pacific,Thailand,Renewable Energy,Equity,0.16
2015,Latin America & Caribbean,Brazil,Renewable Energy,Equity,98.1
2015,Latin America & Caribbean,Brazil,Renewable Energy,Equity,166.03
2015,Latin America & Caribbean,Mexico,Renewable Energy,Non-Concessional Loan,493.41
2015,Latin America & Caribbean,Mexico,Renewable Energy,Equity,48.4
2015,Latin America & Caribbean,Colombia,Renewable Energy,Non-Concessional Loan,1.58
2015,Latin America & Caribbean,Chile,Renewable Energy,Equity,147.66
2015,Latin America & Caribbean,Argentina,Renewable Energy,Bond,594.75
2015,Europe & Central Asia,Turkey,Renewable Energy,Bond,36.31
2015,Europe & Central Asia,Turkey,Renewable Energy,Equity,94.26
2015,Europe & Central Asia,Ukraine,Renewable Energy,Bond,154.35
2015,Europe & Central Asia,Ukraine,Renewable Energy,Equity,207.49
2015,Europe & Central Asia,Poland,Renewable Energy,Non-Concessional Loan,370.62
2015,Europe & Central Asia,Romania,Renewable Energy,Bond,52.11
2015,Europe & Central Asia,Kazakhstan,Renewable Energy,Bond,27.59
2015,Europe & Central Asia,Kazakhstan,Renewable Energy,Equity,41.47
2015,Middle East & North Africa,Morocco,Renewable Energy,Equity,13.16
2015,Middle East & North Africa,Morocco,Renewable Energy,Bond,54.35
2015,Middle East & North Africa,Egypt,Renewable Energy,Non-Concessional Loan,577.49
2015,Middle East & North Africa,Jordan,Renewable Energy,Equity,306.04
2015,Middle East & North Africa,Jordan,Renewable Energy,Equity,73.22
2015,Middle East & North Africa,Tunisia,Renewable Energy,Equity,772.42
2015,Middle East & North Africa,Tunisia,Renewable Energy,Grant,72.0
2016,Sub-Saharan Africa,Kenya,Renewable Energy,Equity,91.81
2016,Sub-Saharan Africa,Nigeria,Renewable Energy,Grant,317.07
2016,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,162.0
2016,Sub-Saharan Africa,Ethiopia,Renewable Energy,Bond,282.73
2016,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,36.63
2016,Sub-Saharan Africa,Ghana,Renewable Energy,Bond,27.05
2016,Sub-Saharan Africa,Tanzania,Renewable Energy,Grant,49.97
2016,South Asia,India,Renewable Energy,Equity,42.01
2016,South Asia,India,Renewable Energy,Bond,76.78
