year,region,country,sector,instrument_type,amount_usd_mn
2013,Middle East & North Africa,Morocco,Cross-cutting,Grant,2.35
2021,Middle East & North Africa,Morocco,Cross-cutting,Grant,0.11
2020,Middle East & North Africa,Morocco,Cross-cutting,Grant,0.09
2016,Middle East & North Africa,Morocco,Cross-cutting,Grant,2.55
2019,East Asia & Pacific,Vietnam,Cross-cutting,Grant,122.36
2018,East Asia & Pacific,Vietnam,Cross-cutting,Grant,130.69
2017,East Asia & Pacific,Vietnam,Cross-cutting,Grant,114.27
2016,East Asia & Pacific,Vietnam,Cross-cutting,Grant,181.7
2015,East Asia & Pacific,Vietnam,Cross-cutting,Grant,131.22
2014,East Asia & Pacific,Vietnam,Cross-cutting,Grant,131.91
2013,East Asia & Pacific,Vietnam,Cross-cutting,Grant,144.29
2022,East Asia & Pacific,Vietnam,Cross-cutting,Grant,101.76
2021,East Asia & Pacific,Vietnam,Cross-cutting,Grant,123.85
2016,Sub-Saharan Africa,Tanzania,Renewable Energy,Equity,1.04
2015,Sub-Saharan Africa,Tanzania,Renewable Energy,Equity,33.04
2014,Sub-Saharan Africa,Tanzania,Renewable Energy,Equity,0.18
2013,Sub-Saharan Africa,Tanzania,Renewable Energy,Equity,0.67
2015,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,13.39
2014,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,16.94
2013,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,19.64
2022,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,0.87
2021,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,1.75
2020,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,2.16
2019,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,2.57
2018,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,4.5
2017,Latin America & Caribbean,Brazil,Energy Efficiency,Grant,22.46
2015,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,122.08
2014,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,137.01
2013,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,121.31
2022,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,159.01
2021,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,167.58
2020,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,159.15
2019,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,172.38
2018,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,159.54
2017,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,164.52
2021,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,9.79
2020,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,7.35
2019,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,9.95
2018,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,11.5
2017,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,7.45
2016,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,9.51
2015,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,13.96
2014,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,15.45
2013,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,15.63
2019,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,0.04
2013,South Asia,Sri Lanka,Cross-cutting,Grant,11.89
2022,South Asia,Sri Lanka,Cross-cutting,Grant,5.96
2021,South Asia,Sri Lanka,Cross-cutting,Grant,11.84
2020,South Asia,Sri Lanka,Cross-cutting,Grant,12.39
2019,South Asia,Sri Lanka,Cross-cutting,Grant,11.35
2018,South Asia,Sri Lanka,Cross-cutting,Grant,11.3
2017,South Asia,Sri Lanka,Cross-cutting,Grant,7.32
2016,South Asia,Sri Lanka,Cross-cutting,Grant,7.43
2015,South Asia,Sri Lanka,Cross-cutting,Grant,37.61
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.08
2014,South Asia,Pakistan,Cross-cutting,Grant,6.96
2013,South Asia,Pakistan,Cross-cutting,Grant,6.59
2022,South Asia,Pakistan,Cross-cutting,Grant,2.27
2021,South Asia,Pakistan,Cross-cutting,Grant,1.92
2020,South Asia,Pakistan,Cross-cutting,Grant,1.57
2019,South Asia,Pakistan,Cross-cutting,Grant,1.48
2018,South Asia,Pakistan,Cross-cutting,Grant,1.54
2017,South Asia,Pakistan,Cross-cutting,Grant,3.6
2016,South Asia,Pakistan,Cross-cutting,Grant,4.92
2021,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.56
2017,East Asia & Pacific,Indonesia,Cross-cutting,Grant,11.62
2022,East Asia & Pacific,Indonesia,Cross-cutting,Grant,16.18
2021,East Asia & Pacific,Indonesia,Cross-cutting,Grant,24.21
2020,East Asia & Pacific,Indonesia,Cross-cutting,Grant,16.14
