year,region,country,sector,instrument,amount
2019,East Asia & Pacific,Indonesia,Cross-cutting,Concessional Loan,100.0
2018,South Asia,India,Cross-cutting,Concessional Loan,172.2
2018,East Asia & Pacific,Indonesia,Forestry & Land Use,Concessional Loan,200.0
2018,East Asia & Pacific,Vietnam,Sustainable Transport,Concessional Loan,80.0
2018,East Asia & Pacific,China,Water & Waste Management,Concessional Loan,250.0
2018,South Asia,India,Water & Waste Management,Concessional Loan,450.0
2018,South Asia,Bangladesh,Renewable Energy,Concessional Loan,450.64
2018,South Asia,India,Cross-cutting,Concessional Loan,420.0
2017,South Asia,Nepal,Cross-cutting,Concessional Loan,80.0
2017,South Asia,India,Cross-cutting,Concessional Loan,318.0
2017,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,150.0
2017,East Asia & Pacific,Vietnam,Renewable Energy,Concessional Loan,240.0
2017,South Asia,Bangladesh,Renewable Energy,Concessional Loan,59.0
2017,Middle East & North Africa,Tunisia,Forestry & Land Use,Concessional Loan,100.0
2017,Latin America & Caribbean,Argentina,Renewable Energy,Concessional Loan,480.0
2017,Sub-Saharan Africa,Kenya,Forestry & Land Use,Concessional Loan,250.0
2016,Sub-Saharan Africa,Ethiopia,Renewable Energy,Concessional Loan,200.0
2016,East Asia & Pacific,China,Sustainable Transport,Concessional Loan,120.0
2016,East Asia & Pacific,China,Renewable Energy,Concessional Loan,100.0
2015,South Asia,Pakistan,Water & Waste Management,Concessional Loan,34.95
2015,East Asia & Pacific,Indonesia,Renewable Energy,Mixed/Other,500.0
2015,Middle East & North Africa,Morocco,Renewable Energy,Concessional Loan,125.0
2015,East Asia & Pacific,China,Renewable Energy,Concessional Loan,71.5
2014,Middle East & North Africa,Morocco,Renewable Energy,Concessional Loan,400.0
2014,East Asia & Pacific,Philippines,Forestry & Land Use,Concessional Loan,501.25
2014,Sub-Saharan Africa,Ethiopia,Renewable Energy,Concessional Loan,178.5
2014,Europe & Central Asia,Ukraine,Renewable Energy,Concessional Loan,332.0
2014,South Asia,India,Cross-cutting,Concessional Loan,1100.0
2014,East Asia & Pacific,China,Renewable Energy,Concessional Loan,100.0
2013,East Asia & Pacific,China,Sustainable Transport,Concessional Loan,120.0
2013,East Asia & Pacific,China,Cross-cutting,Concessional Loan,200.0
2013,Latin America & Caribbean,Brazil,Climate Adaptation,Concessional Loan,16.2
2013,Sub-Saharan Africa,Ghana,Forestry & Land Use,Concessional Loan,5.0
2013,South Asia,Nepal,Renewable Energy,Concessional Loan,27.26
2013,East Asia & Pacific,China,Renewable Energy,Concessional Loan,100.0
2013,East Asia & Pacific,China,Renewable Energy,Concessional Loan,120.0
2013,East Asia & Pacific,China,Forestry & Land Use,Concessional Loan,80.0
